No;Fulltext;Status
1449;Kamera CCTV mobil yang terparkir di dpn Circke K Satrio Kuningan putar balik ! Kena Tilang Elektronik Gue ! Iya gue salah harusnya putar balik di dpn ambassador !!! NGENTOT DEH AHH !!!! https://t.co/CDqw8gJX3M;
1450;@valendind14 Skr tilang kan elektronik yak coba deh yg ngerokok sambil bawa kendaraan juga dikenain tilang. Kan ngelanggar aturan lalu lintas tuh. Klo bsa mah yg biasany negur di per4an besar pake speaker tuh tereak2in sekalian klo nemu yg ngerokok smbil berkendara.;
1451;Razia di Tanggal merah..... K bisa... Dn tidak dilengkapi dengan sperin jlas... Bgini Jadinya... Sdah aman aman pke tilang elektronik... Eh.. Karena kekurangan un tambahan buat para komandan di ada lagi... Tilang manual... Kapanbaiknya kepolisian kita https://t.co/zDfAXDCYbG;
1452;Polisi Bakal Uji Coba Tilang Elektronik ETLE di Daerah IKN Nusantara https://t.co/0wZqntIXxa;
1453;@starfess kena tilang elektronik;
1454;@indomiedky @tanyakanrl kena cekrek tilang elektronik nih wkwkwkk;
1455;bayangin di indo begini di halo haloin mbak2 or mas2 tilang elektronik;
1456;10.19 Tim E-TLE Mobile Sat Lantas Jakarta Timur melaksanakan kegiatan penindakan tilang elektronik kepada pengendara Sepeda Motor yang tidak menggunakan helm di Jl. Jend Basuki Rahmat Jakarta Timur. https://t.co/Fvkh5LUeSD;
1457;@PRFMnews @tmc_restabesbdg @dishubkotabdg Tindak tilang elektronik atuh...biar Ada efek jera;
1458;@PRFMnews @tmc_restabesbdg @dishubkotabdg di jalan turangga itu mah udah lama sekali entah kenapa gak ada tindakan sama sekali dari aparat...pada malas putar balik....solusi nya pasang tilang elektronik disitu...biar pada kapok melawan arus....;
1459;PENEGAKAN HUKUM MELALUI TILANG ELEKTRONIK (ETLE) Kasat Lantas Polres OKI AKP MUHAMMAD SADELI S.H. https://t.co/DwtpDbUFAz. https://t.co/NpmVETOqRO;
1460;PENEGAKAN HUKUM MELALUI TILANG ELEKTRONIK (ETLE) Kasat Lantas Polres OKI AKP MUHAMMAD SADELI S.H. https://t.co/DwtpDbUFAz. https://t.co/U3umDZjwP1;
1461;PENEGAKAN HUKUM MELALUI TILANG ELEKTRONIK (ETLE) Kasat Lantas Polres OKI AKP MUHAMMAD SADELI S.H. https://t.co/DwtpDbUFAz. https://t.co/FQ8YFyoOTZ;
1462;[4] Satlantas Polres Blitar Kota menggelar Operasi Patuh Semeru 2023 selama 2 pekan mulai dari 10 Juli hingga 24 Juli 2023. Hasilnya ada 29.933 pelanggar lalu lintas yang ditindak baik melalui tilang elektronik menggunakan kamera ETLE statis mobil INCAR tilang manual maupun;
1463;[Yang terbaru] Sekarang modushacker naymar pakai surat tilang elektronik via WHATSAPP Surat tilang asli dan resmi dikirm via Email https://t.co/ERCsDGoQVK;
1464;@hahingang Yg kayak gitu difoto sampaikan ke polisi untuk dibuatkan tilang elektronik bisa nggak ya ?;
1465;PENEGAKAN HUKUM MELALUI TILANG ELEKTRONIK (ETLE) Kasat Lantas Polres OKI AKP MUHAMMAD SADELI S.H. https://t.co/DwtpDbUFAz. https://t.co/HvCJlwoViB;
1466;PENEGAKAN HUKUM MELALUI TILANG ELEKTRONIK (ETLE) Kasat Lantas Polres OKI AKP MUHAMMAD SADELI S.H. https://t.co/DwtpDbUFAz. https://t.co/9FQXwwCOHi;
1467;PENEGAKAN HUKUM MELALUI TILANG ELEKTRONIK (ETLE) Kasat Lantas Polres OKI AKP MUHAMMAD SADELI S.H. https://t.co/DwtpDbUFAz. https://t.co/yb91YETpKB;
1468;Kasat Lantas Polres Prabumulih bersama Gakkum Polres Prabumulih antarkan langsung surat konfirmasi tilang elektronik Kapolres Prabumulih AKBP. Witdiardi S.I.K. M.H. melalui Kasat Lantas Polres Prabumulih AKP. MUTHE SH bersama Kanit Gakkum IPDA PARIYANTO SH https://t.co/bIZO97Y2Mm;
1469;https://t.co/g5m9FsJxDI Operasi Patuh Semeru 2023 di Kota Blitar Ratusan Kendaraan Kena Tilang Elektronik: Selama pelaksanaan Operasi Patuh Semeru 2023 di Kota Blitar 591 kendaraan kena tilang elektronik dan 21 kendaraan kena tilang manual. https://t.co/1WluClO777;
1470;PENEGAKAN HUKUM MELALUI TILANG ELEKTRONIK (ETLE) Kasat Lantas Polres OKI AKP MUHAMMAD SADELI S.H. https://t.co/DwtpDbUFAz. https://t.co/0pZzDJBTXM;
1471;PENEGAKAN HUKUM MELALUI TILANG ELEKTRONIK (ETLE) Kasat Lantas Polres OKI AKP MUHAMMAD SADELI S.H. https://t.co/DwtpDbUFAz. https://t.co/nbjyfKlAis;
1472;PENEGAKAN HUKUM MELALUI TILANG ELEKTRONIK (ETLE) Kasat Lantas Polres OKI AKP MUHAMMAD SADELI S.H. https://t.co/DwtpDbUFAz. https://t.co/iBKa8ZZSPl;
1473;dan untuk Tilang Manual 1.448 pengendara Sementara 408 pengendara lain yang melanggar ditilang secara elektronik menggunakan teknologi Electronic Traffic Law Enforcement (ETLE) baik Statis maupun Mobile Kemudian lanjut Kapolda Sulsel data Laka lantas selama Operasi Patuh;
1474;Begini Cara Bayar Denda Surat Tilang Elektronik Mobil dan Motor https://t.co/joCPjPPlk3;
1475;Kritik Buat Komdis PSSI: Kerjanya Mirip Tilang Elektronik https://t.co/BfnTEhBdtu;
1476;Mudah Cara Cek Tilang Elektronik Anda Diminta Memasukkan Pelat Nomor dari HP Otomatis Akan Ketahuan https://t.co/SWyZ0jX5US;
1477;cuy gua sk de kamera tilang elektronik;
1478;Dapat surat cinta tilang elektronik aww;
1479;Total jumlah penindakan pelanggaran lalu lintas (lalin) baik E-TLE (tilang elektronik) dan tilang manual 30.159 kata Karo Penmas Divisi Humas Polri Brigjen Ahmad Ramadhan https://t.co/p64IEOjsKR;
1480;E-Tilang: Prosedur Persidangan Tilang Elektronik https://t.co/NnA6PEDtmZ;
1481;Supriansa Usulkan Tilang Elektronik Terkoneksi dengan rekening Pemilik Kendaraan https://t.co/0gboaU6nQQ;
1482;Tips Beli Mobil Bekas dari Korlantas Polri Jangan Lupa Cek Status Tilang Elektronik https://t.co/SNrnziLirY;
1483;Cara Mengurus Tilang Elektronik Lengkap Ternyata Gampang! https://t.co/qyejfGzUGP https://t.co/PLFQV6195S;
1484;@asumsico Lebih oke klo denda tilang elektronik dipotong langsung dari rekening anggota dpr;
1485;Begal? Tembak mati ditempat! Tilang elektronik? Potong langsung dari rekening! Bebas Korupsi? KAU HIDUP DI SURGA SAJA;
1486;@asumsico Beh kalo data tilang elektronik bocor sekalian bocor sama nomor rekeningnya;
1487;@TMCPoldaMetro Lgs tilang elektronik aja...kn beres;
1488;@sosmedkeras Sudah main tilang elektronik;
1489;Operasi Patuh Satlantas Indramayu Catat 675 Pelanggar Dikenakan Tilang Elektronik dan 2.091 Diberi Teguran https://t.co/QyI4MhHcT1;
1490;DPR ini Usul Denda Tilang Elektronik Langsung Dipotong Dari Rekening Pribadi Milik Pelanggar https://t.co/DvNuHVJDEu;
1491;@sosmedkeras Kan ada tilang elektronik;
1492;Dear Warga Pangandaran Jangan Lupa Pakai Helm Sekarang Ada Tilang Elektronik https://t.co/i2SZtoVN4B;
1493;Rekening bank itu hak milik pribadi ga semestinya negara masuk ke ranah pribadi. Usulan potong rekening langsung denda tilang elektronik ini harus ditentang/ditolak;
1494;Sistem Tilang Elektronik atau Electronic Law Enforcement (ETLE) baru saja dimulai secara nasional dari 23 Maret 2021. Sistem ini baru saja berjalan dua tahun tapi Polda Metro Jaya mulai kembali memberlakukan aturan tilang manual. https://t.co/StSARqjjco https://t.co/cohcQlEFNG;
1495;@e100ss Solusi atasi kemacetan: 1. Adakan Polantas di area TL tanpa petugas byk pengendara saling serobot. 2. Pertegas penggunaan tilang elektronik krn CCTV bkn pajangan anggaran pengadaannya besar siaÂ² tdk terpakai. 3. Operasi Patuh bkn sekedar wacana tp sbg pembelajaran disiplin.;
1496;@sbyfess aku kena tilang elektronik daerah bratang kira2 kena brp y?;
1497;@himawansugeha95 Perlu diperhatikan bahwa sistem tilang elektronik yang terkoneksi dengan rekening dapat memberikan tekanan finansial pada masyarakat yang kurang mampu. Oleh karena itu perlunya dipertimbangkan opsi pembayaran yang fleksibel dan perlindungan bagi mereka yang tidak mampu;
1498;POLISI LAPAR tilang elektronik ditinggalkan.;
1499;Makanya pasang kamera tilang elektronik. Di negara lain kepolisian meraup uang dari surat tilang. Yang melanggar kena jepret surat tilang dikirim ke alamat. Kalo mobil mewah tilangnya lebih gede. Di Finlandia ada orang kaya kena tilang 2 miliar rupiah. https://t.co/22Kqpqgx85;
1500;@txtdrimedia Di negara lain kepolisian meraup uang dari surat tilang. Pasang kamera tilang elektronik yang melanggar kena jepret surat tilang dikirim ke alamat/whatsapp. Kalo mobil mewah tilangnya lebih gede. Di Finlandia ada orang kaya kena tilang Rp. 2 039 832 634 https://t.co/22Kqpqgx85;
1501;Anggota DPR Komisi III Fraksi Golkar Supriansa mengusulkan agar tilang elektronik (ETLE) dapat terkoneksi dengan rekening pengguna kendaraan. Menurut dia lewat sistem ini denda pelanggaran dapat dipotong langsung dari rekening masyarakat atau dikenakan tagihan kartu kredit. https://t.co/cvtpod4E6Z;
1502;09.01 Polri Sat Lantas Jakarta Timur melaksanakan kegiatan penindakan tilang secara elektronik kepada pengendara motor yang melanggar lawan arah di depan Apartemen Bassura arah BKT Jl. Basuki Rahmat Jatinegara Jaktim. https://t.co/WeMGlEy2lo;
1503;@DivHumas_Polri Udah ada tilang elektronik kn bos;
1504;@bogorfess_ Hati hati jika naik motor tidak pakai helm melintasi jalur Bajawa sampai Kimia Farma bisa kena tilang elektronik;
1505;Kunjungan Kerja Kapolda Jatim serta Peresmian Gedung Pelayanan Masyarakat SIM Walk Thru dan Pelayanan E-Konfirmasi Tilang Elektronik bertempat di Mapolres Pasuruan Rabu 12 Juli 2023 Selengkapnya di Instagram humaspoldajatim https://t.co/9BCaxD15rQ https://t.co/bBxQWb1nsz;
1506;"Mekanisme pengurusan tilang elektronik ; 1. pengendara yang melanggar akan terekam cctv 2. plat nomor kendaraan yang melanggar akan diverifikasi dengan data yang dimiliki polisi dalam waktu 3 hari 3. polisi mengirimkan surat konfirmasi kepada pemilik kendaraan https://t.co/mNCH0F6N83";
1507;@DivHumas_Polri Tilang elektronik gak efektif ya pak?;
1508;"@CNNIndonesia Ilang 650M tapi bisa dpat dari Tilang elektronik &amp; manuall..cuan double gak tuh";
1509;Selain itu juga diresmikan E-Konfirmasi Tilang Budhi Luhur Bhayangkara inovasi yang memanfaatkan teknologi untuk mempermudah proses konfirmasi tilang. Dengan menggunakan sistem elektronik.;
1510;@kucingkaizoku @Heraloebss tilang elektronik malah pada pake plat palsu waktu itu. pas polisi ga dibolehin tilang manual;
1511;@tukangrosok22 @ListyoSigitP @DivHumas_Polri @CCICPolri Kok main rampas aja ya. Makanya tilang elektronik ga bisa jalan;
1512;@WagimanDeep212_ Sudah mulai cari2 seseran apa ya sekarang..tilang elektronik sudah ga lagi..???;
1513;Halo sobat semua Informasi Operasi Patuh Semeru 2023 sudah memasuki hari ke-4 Sebagai upaya penegakan hukum bagi pengendara yang melanggar lalu lintas selama Operasi Patuh Semeru 2023 Polres Trenggalek menerapkan tilang elektronik atauÂ electronic traffic law enforcementÂ (ETLE) https://t.co/z2bPdj9YbA;
1514;@RinaldiBaga @kumparan Di malaysia bisa masa berlaku 10 tahun. Kalau butuh pemasukan yah perbanyak tilang elektronik. Satu kendaraan 300-500 ribu per kendaraan. Pasang di zona motor lawan arah. Panen bos;
1515;@Heraloebss Panen raya abis garing karna kemaren2 tilang elektronik.;
1516;Anggota DPR Usulkan Tilang Elektronik Terhung ke Rekening Agar Mudah Potong Denda Bagi Pelanggar https://t.co/ejirH8LSYX;
1517;@Heraloebss Di +62 itu serba salah Tilang elektronik warga nya belum siap Tilang manual aparat nya belum siap terus mesti gimana yah? Ada di posisi kritik tanpa solusi.;
1518;@Heraloebss Dan sepertinya kalau sekarang udah jarang tilang manual udah ganti elektronik yaaa jadi nanti kalau kita melanggar tanpa sadar tiba2 aja dapat surat cinta yang datang kerumah wkwkwkwkwkkkk . Ini kejadian kapan kok masih ada tilang manual??;
1519;Dewan Perwakilan Rakyat (DPR) mengusulkan agar denda tilang elektronik bisa dipotong langsung dari rekening pelanggar. Usulan tersebut disampaikan oleh anggota Komisi III DPR RI Wihadi Wiyanto https://t.co/a12ZpXylbY via @serambinews;
1520;Operasi Patuh 2023 Tilang Manual dan Elektronik Diterapkan di Jayawijaya https://t.co/i8oAXtpO7P;
1521;polisi-minta-waspadai-modus-penipuan-tilang-elektronik-dikirim-via-wa https://t.co/cvarneVR8m;
1522;Jumlah tersebut merupakan akumulasi dari seluruh tindakan yang diambil Polri yaitu secara langsung maupun tilang secara elektronik https://t.co/dMSkCby9If;
1523;@honeysweett_1 @mochikola @kkutupb @filandrian Sore kak mjb. Aku kan kena tilang elektronik bawa mobil genap di jalan ganjil. Surat tilangnya dikirim lewat pos dan tertaulis denda maksimal 500rb. Kalau aku dateng ke kejaksaan dan bayar di sana aja bisa lebih murah dr 500rb ga ya?;
1524;Sejak dimulai hari Senin (10/7) kemarin Operasi Patuh Jaya 2023 telah menindak 15.588 orang baik menggunakan tilang elektronik maupun tilang manual. Pada tanggal 10 Juli 2023 total jumlah penindakan pelanggaran lalu lintas baik E-TLE dan Tilang Manual sebanyak 15.588 dan https://t.co/es5YZEo9F0;
1525;Polisi Minta Waspadai Modus Penipuan Tilang Elektronik Dikirim via WA https://t.co/OfEddY25FZ;
1526;Data tersebut terbandinh lurus dengan angka pelanggaran yang meningkat secara signifikan sebesar 1.018 14%. Dari data tilang elektronik tercatat telah ada 1.218.825 orang tertindak.;
1527;Penindakan di tempat diterapkan bagi pelanggaran yang tidak tertangani oleh tilang elektronik (e-TLE). Beberapa pelanggaran lalu lintas lainnya yang dilakukan penindakan di tempat yaitu penggunaan knalpot bising atau brong dengan cara dilakukan penyitaan.;
1528;"[4] akan ditekankan pada pengendara yang ugal-ugalan &amp; kendaraan roda 4 yang membawa muatan berlebih. Sementara tilang elektronik (e-Tilang) kata dia akan mendeteksi pengendara yang tidak menggunakan helm menerobos rambu lalu lintas maupun melawan arus. Mulya mengimbau";
1529;[3] Argowiyono mengatakan jika melanggar pengendara bisa dikenakan tilang elektronik maupun tilang manual. Sementara untuk sanksi menyesuaikan dengan bentuk pelanggarannya sesuai aturan yang berlaku. AKP Mulya Sugiharto Kasatlantas Polres Blitar Kota menambahkan tilang manual;
1530;@undipmenfess Katanya sih di tuntang ada di ungaran kayaknya ada tilang elektronik juga. tp selama ini nggak pernah kena;
1531;APEL GELAR PASUKAN OPERASI PATUH KAYAN 2023 Penindakan hukum menggunakan tilang elektronik/manual untuk menciptakan kamseltibcarlantaas dan budaya tertib berlalu lintas https://t.co/RqAIjLPl4H;
1532;Polda Kalsel Utamakan Tilang Elektronik Selama Patuh Intan 2023 - https://t.co/cNYJjPubss;
1533;Jalan Layang Non Tol (JLNT) Casablanca Jakarta Selatan segera dipasang ETLE (electronic traffic law enforcement) atau tilang elektronik. https://t.co/BZjrpHVIz4;
1534;Tilang elektronik tuh kalau pelanggar nya belum punya SIM yang bagian ini diisi apa ya? Boleh pakai SIM punya bapak kah? https://t.co/G8mwONes2S;
1535;Sebagai contoh meskipun oot. Pemerintah buat kebijakan tilang elektronik. Tindakan masyarakat? Ngesolatip plat nomornya. Atau apapun itu sampai plat nomornya ga bisa dikenali. See? Ini semua mental masyarakat. Emang udah bobrok aja;
1536;@golkarpedia Mau manual atau elektronik ngak masalah yang penting itu tujuan Tilang itu apa? Kalau sekedar mencari cari kesalahan wajib pajak dan warga negara... Ya selamanya tidak akan tertib;
1537;@WagimanDeep212_ @jokowi @PPATK @psi_id Kl tukang dorong mobil mogok pas musim banjir jadi anggota DPR !! Ya kayak gini lah kwalitasnya.. Otak nya ke enceran kecampur air got soalnya gitu lho.. Sudah jelas dalam uji coba banyak kasus salah baca data salah kirim surat tilang elektronik nya.. Dasar otak cabul !!;
1538;Polda Jateng Gelar Operasi Patuh 2023 Utamakan Penindakan Tilang Elektronik https://t.co/WjS8q9WoBV;
1539;Pasrah aja kalo dikirimin surat tilang elektronik wkwkwk;
1540;@tengkorak_maut @DPR_RI Tilang elektronik ini bukan tdk bisa dijalankan tetapi keliatan POLISI nya yg ogah.;
1541;@fajriyuneldi @RadioElshinta Yah kejadian lg Mang perlu ditindak keras krn sdh sering kejadian akibat kelakuan mengemudi yg serampangan. Cuma ada rambu ada kamera tilang elektronik ga ngaruh;
1542;@kompascom Sim ga perlu perpanjang. Tambahkan tilang elektronik. Kalau yg melanggar cabut sim nya suruh ujian ulang les ulang kelar perkara.;
1543;@kawanpolri Tilang elektronik seperti nya belum berdampak positif pak masih banyak yang melanggar aturan di jalan pak;
1544;DALAM OPERASI PATUH KAYAN 2023 KALI INI TERDAPAT SATGAS GAKKUM SEBAGAI SATUAN TUGAS PENEGAKAN HUKUM ATAS PELANGGARAN LALU LINTAS YANG SEBELUMNYA KITA SUDAH MENSOSIALISASIKANNYA TENTANG PEMBERLAKUAN TILANG MANUAL DISAMPING TILANG ELEKTRONIK/ETLE https://t.co/hxtZUkzBiK;
1545;Satlantas Polres Subang Lakukan Penindakan Pelanggaran Kasat Mata dengan Tilang Elektronik https://t.co/cnasGxMLKx;
1546;akan memadukan 2 mekanisme penindakan tilang yaitu tilang elektronik (ETLE) dan tilang manual. Demikian diungkapkan Direktur Lalulintas Polda Jateng Kombes Pol Agus Suryo Nugroho pada Rabu (5/7/2023). Di Jawa Tengah ETLE (Electronic Traffic Law Enforcement) prioritas tetapi https://t.co/W0DecInhaF;
1547;tilang-elektronik-polri-masih-butuhkan-3465-kamera-etle https://t.co/qPeZSFYhrh;
1548;@negativisme aseli gua kena elektronik tilang ini gajelas bgt neg kenanya gope prosesnya berbelit lagi. mobil mobil pejabat yg masuk jalur busway kaga dipoto;
1549;@Ntun12345 @darjofess Ya kan kalo tilang elektronik di perempatan jalan gitu yg difoto plat motornya;
1550;@Ntun12345 @darjofess Ngindarin tilang elektronik;
1551;Gelar Operasi Patuh Maung Polda Banten Utamakan Tilang Elektronik https://t.co/xPSXDhyba3;
1552;Sarifuffin Sudding selaku Anggota Komisi III DPR RI meminta tilang elektronik berlaku tanpa pandang bulu. Hal tersebut disampaikan oleh beliau pada rapat antara Komisi III DPR RI dengan kepala Korlantas Polri Irjen Irman Firman Shantyabudi di gedung parlemen rabu kemarin. https://t.co/2hVcsz1rtW;
1553;ETLE atau tilang elektronik yg menggunakan kamera harus diberlakukan tanpa pandang bulu. Hal ini demi meningkatkan kedisiplinan lalu lintas selain itu yg melanggar harus di tindak sesuai dengan hukum yg berlaku. https://t.co/LJWxFSvtYa;
1554;Gelar Operasi Patuh 2023 Ditlantas Polda Jateng Utamakan Penindakan Tilang Elektronik https://t.co/BmgotPZJ6s;
1555;@tvOneNews Bilang aja gagal tilang elektronik;
1556;@narkosun Ngadi ngadi ae pakÂ²... Persis koyo critane tilang elektronik... Tp nilange dudu dek jalan raya besar tp dek jalan desa;
1557;@sultanfrozen Nitip tanya saat mau urus STNK 5 tahun diinfo kalau ada 3 tilang elektronik krn langgar ganjil-genap nominal 500rb/tilang itu bisa ajukan pengadilan jg ? Konteks melanggar gage karena tugas di RS saat status pandemi;
1558;Aku dah bilang temanku buat ditilang aja gpp minta tilang elektronik. Tapi POLISI INI MANFAATIN TEMANKU YG KETAKUTAN GEMETER NERVOUS STNK NYA DIBAWA DAN KALO MAU DIBALIKIN SURUH BAYAR.;
1559;Kasus penipuan ini terus berkembang mulai dari modus kurir paket undangan pernikahan surat tilang elektronik (eTLE) tagihan internet lowongan pekerjaan hingga operator seluler.;
1560;@Gus_Raharjo @ListyoSigitP Dari awal sy ga respect sm Kapolri ini kerjanya lelet nunggu viral puncaknya kasus sambo tilang elektronik ga jelas plat kendaraan di ganti warna putih penanganan kasuz2 sngat lambat ga tahu kenapa beliau ini dipertahankan pak JKW mungkin kren kedekatan waktu di solo...;
1561;Tilang Manual Diberlakukan Kasat Lantas Polres Sumedang: Pengendara Kena Tilang Elektronik Masih Banyak https://t.co/o69sE4PPHq;
1562;@DivHumas_Polri Pak tilang electronik sebaiknya dikembalikan lagi dan tilang manual ditiadakan. Kalau Korlantas beralasan : Sejak tilang elektronik diberlakukan maka pelanggaran meningkat. Itu penyebabnya petugas lalu lintas tdk mau mengambil foto para pelanggar lalu lintas entah apa sebabnya;
1563;@kompascom pasang alat tilang elektronik biaya gede gedean dmn mn.. eh gak lama kembali tilang manual satu satu benahi klo belum beres satu satu ya susah;
1564;@pandji PTSL (sertifikat tanah gratis) dan pemberlakuan tilang elektronik.;
1565;@aiiiiyaiya Kena tilang elektronik didaerah situ;
1566;@detikcom Paling ntar jadi aturan y gagal kaya tilang elektronik balik lagi ke manual;
1567;@sopir_idiot Harusnya video gini bisa jadi bukti tilang elektronik;
1568;@Montir_UFO Kan dah bisa pake Tilang Elektronik;
1569;@TMCPoldaMetro Karena masifnya pelanggaran saat perbanyak teknologi Tilang Elektronik dibeberapa ruas jalan.. biayanya murah dari pada tambah resource sdm..;
1570;@CkusCkus Gara2 tilang elektronik jd cari celah lain ?;
1571;@elpspr Iyaaa kan orang indo pinter ngakalin. Paling bener tu ya pake tilang elektronik.;
1572;Setelah tilang mobil/ motor di perlakukan elektronik saatnya ada rasia topi Karan kurang etika Hati2 ya gaes https://t.co/MReKzhDn3t https://t.co/IL3JVDepzz;
1573;Aipda Rudi* Anggota Polsek Cisaat - Polres Sukabumi Kota Sedang memberikan Himbauan Kepada Pengemudi Sepeda Motor Tentang Etle Tilang Elektronik. https://t.co/e5Q0GukQi7;
1574;*Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE)* Pada hariÂ Kamis 8 Juni 2023 pukul 09.00 WITA bertempat di Ruang Posko ETLE Gakkum Dit Lantas Polda Bali masyarakat atas nama I Gst. Ngurah Agung Johan datang ke Ruang ETLE untuk melaksanakan konfirmasi https://t.co/JacJOCh7rL;
1575;Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE) https://t.co/cNjlsyEx7b;
1576;*Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE)* Pada hariÂ Kamis 8 Juni 2023 pukul 09.00 WITA bertempat di Ruang Posko ETLE Gakkum Dit Lantas Polda Bali masyarakat atas nama I Gst. Ngurah Agung Johan datang ke Ruang ETLE https://t.co/JcGE0BBpGw;
1577;Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE)* Pada hariÂ Kamis 8 Juni 2023 pkl 09.00 WITA di Ruang Posko ETLE Gakkum Dit Lantas Polda Bali masyarakat atas nama I Gst. Ngurah Agung Johan datang ke Ruang ETLE untuk melaksanakan konfirmasi tilang elektronik https://t.co/qMV7LHKMYe;
1578;*Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE)* https://t.co/oRtPs46tMM;
1579;APRESIASI ETLE POLDA BALI.mp4*Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE)* Pada hariÂ Kamis 8 Juni 2023 pukul 09.00 WITA bertempat di Ruang Posko ETLE Gakkum Dit Lantas Polda Bali masyarakat atas nama I Gst. Ngurah Agung Johan datang ke Ruang ETLE https://t.co/7ksLcLWsih;
1580;*Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE)* Pada hariÂ Kamis 8 Juni 2023 pukul 09.00 WITA bertempat di Ruang Posko ETLE Gakkum Dit Lantas Polda Bali masyarakat atas nama I Gst. Ngurah Agung Johan datang ke Ruang ETLE untuk melaksanakan konfirmasi https://t.co/qdAgAYYVqa;
1581;*Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE)* Kamis 8 Juni 2023 pukul 09.00 WITA di Ruang Posko ETLE Gakkum Dit Lantas Polda Bali masyarakat atas nama I Gst. Ngurah Agung Johan datang ke Ruang ETLE untuk melaksanakan konfirmasi tilang elektronik. https://t.co/wPt5Fcv1FY;
1582;Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE) https://t.co/zUqLswkKkX;
1583;Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE) https://t.co/CDBSVIVE7M;
1584;*Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE)* https://t.co/aIogPCb1Nz;
1585;*Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE)* Pada hariÂ Kamis 8 Juni 2023 pukul 09.00 WITA bertempat di Ruang Posko ETLE Gakkum Dit Lantas Polda Bali masyarakat atas nama I Gst. Ngurah Agung Johan datang ke Ruang ETLE untuk melaksanakan konfirmasi https://t.co/FnWExpNScv;
1586;*Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE)* https://t.co/oMHv9X4RDd;
1587;Apresiasi Masyarakat Atas Sistem Pelayanan Tilang Elektronik (ETLE) https://t.co/OlcYTuvX31;
1588;Yaalaahhh papa guee kena tilang lewat surat elektronik;
1589;Tilang elektronik gak kepake lagi;
1590;Cara Pembayaran Tilang Elektronik https://t.co/Ds1YeO5hVL;
1591;10.25 Tim E-TLE Mobile Sat Lantas Jakarta Pusat melakukan penidakan tilang secara elektronik kepada pengendara motor dan mobil yang melanggar masuk melalui jalur busway di Tl. Galur Jl. Letjend. R Suprpato Jakpus. https://t.co/fDEjXF6iaH;
1592;Panit 1 Lantas *Ipda Lili Triaat Mawijaya* (Polsek Cisaat - Polres Sukabumi Kota Sosialisasi Tilang Manual dan Etle ( tilang elektronik ). https://t.co/pkYr2mt4PP;
1593;Cara Bayar Denda Tilang Elektronik Secara Online dan Offline https://t.co/BrPTsPjoa9;
1594;@sapambakita Baik min kordinasi kan pada pihak terkait soal camera tilang elektronik di kota lama berfungsi atau tidak dan untuk camera yang di seluruh kota lama semuanya berfungsi enggak dan untuk penambahan titik-titik baru kamera di lalu lintas mohon di kebut di kerjakan dan lainya min;
1595;@schfess Jalannya sekarang juga udah luas-luas cuman tetep hati-hati. Udah mulai ada tilang elektronik lewat foto itu. Hati-hati juga sama kendaraan lainnya karena jalan agak besar jadi ngebut semua. Atur waktu nder biar kamu nggak terlalu ngebut di jalan nanti.;
1596;Satlantas Polres Singkawang telah melalukan penindakan terhadap pelanggar lalu lintas dengan tilang non elektronik terutama kepada pelanggaran lalu lintas yang banyak dikeluhkan masyarakat diantaranya penggunaan knalpot brong dan kebut kebutan di jalan. https://t.co/7S7qUkrES4;
1597;MANTAN GW LAPORAN ABIS KENA TILANG ELEKTRONIK PAS PULANG PACARAN DL KETAUAN NYA SEKARANG PAS MAU PERPANJANGAN STNK ANJING SORI Y MAL;
1598;ETLE Tabanan Hampir Rampung Tilang Elektronik Segera Dilaksanakan . Korlantas (Korp Lalulintas) Polri saat ini pun masih tahap men-setting penggunaan alat. https://t.co/etd8NVBkIs;
1599;10.10 Tim E-TLE Mobile Sat Lantas Jakarta Pusat melaksanakan penindakan tilang secara elektronik kepada pengendara motor yang melanggar lawan arah di depan Dunkin Donut Gajah Mada Jl. Hayam Wuruk Jakpus. https://t.co/GRqTOfW2HG;
1600;yg saya kecewakan knpa kena tilang 10x dri th 2021 tdk ada surat pemberitahuan di th 2022 perpanjang STNK msh bisa tdk ada pemblokiran tlng pencerahannya ya guys krna ini sangat memberatkan bgi saya apa memang seprti ini tilang elektronik?tdk ada surat pemberitahuan?;
1601;Assalamualaikum guys ada ga sih yg senasib dng saya suami kena tilang elektronik dari th 2021 bru ketahuan skrng itupun ga sengaja mau cek besar pembayaran pajak menggunakan aplikasi tenyata nomor di blok dan ternyata melanggar aturan ganjil genap;
